数据集,规范字段名,中文字段名,数据类型,单位,小数位数,默认格式,字段说明
fina_indicator_quarterly,cash_to_liqdebt,货币资金／流动负债,float,无,2,%.2f,货币资金／流动负债
fina_indicator_quarterly,cash_to_liqdebt_withinterest,货币资金／带息流动负债,float,无,2,%.2f,货币资金／带息流动负债
fina_indicator_quarterly,op_to_liqdebt,营业利润／流动负债,float,无,2,%.2f,营业利润／流动负债
fina_indicator_quarterly,op_to_debt,营业利润／负债合计,float,无,2,%.2f,营业利润／负债合计
fina_indicator_quarterly,roic_yearly,年化投入资本回报率,float,%,2,%.2f,年化投入资本回报率
fina_indicator_quarterly,total_fa_trun,固定资产合计周转率,float,%,2,%.2f,固定资产合计周转率
fina_indicator_quarterly,profit_to_op,利润总额／营业收入,float,无,2,%.2f,利润总额／营业收入
fina_indicator_quarterly,q_opincome,经营活动单季度净收益,float,无,2,%.2f,经营活动单季度净收益
fina_indicator_quarterly,q_investincome,价值变动单季度净收益,float,无,2,%.2f,价值变动单季度净收益
fina_indicator_quarterly,q_dtprofit,扣除非经常损益后的单季度净利润,float,无,2,%.2f,扣除非经常损益后的单季度净利润
fina_indicator_quarterly,q_eps,每股收益(单季度),float,无,2,%.2f,每股收益(单季度)
fina_indicator_quarterly,q_netprofit_margin,销售净利率(单季度),float,%,2,%.2f,销售净利率(单季度)
fina_indicator_quarterly,q_gsprofit_margin,销售毛利率(单季度),float,%,2,%.2f,销售毛利率(单季度)
fina_indicator_quarterly,q_exp_to_sales,销售期间费用率(单季度),float,%,2,%.2f,销售期间费用率(单季度)
fina_indicator_quarterly,q_profit_to_gr,净利润／营业总收入(单季度),float,无,2,%.2f,净利润／营业总收入(单季度)
fina_indicator_quarterly,q_saleexp_to_gr,销售费用／营业总收入 (单季度),float,无,2,%.2f,销售费用／营业总收入 (单季度)
fina_indicator_quarterly,q_adminexp_to_gr,管理费用／营业总收入 (单季度),float,无,2,%.2f,管理费用／营业总收入 (单季度)
fina_indicator_quarterly,q_finaexp_to_gr,财务费用／营业总收入 (单季度),float,无,2,%.2f,财务费用／营业总收入 (单季度)
fina_indicator_quarterly,q_impair_to_gr_ttm,资产减值损失／营业总收入(单季度),float,无,2,%.2f,资产减值损失／营业总收入(单季度)
fina_indicator_quarterly,q_gc_to_gr,营业总成本／营业总收入 (单季度),float,无,2,%.2f,营业总成本／营业总收入 (单季度)
fina_indicator_quarterly,q_op_to_gr,营业利润／营业总收入(单季度),float,无,2,%.2f,营业利润／营业总收入(单季度)
fina_indicator_quarterly,q_roe,净资产收益率(单季度),float,%,2,%.2f,净资产收益率(单季度)
fina_indicator_quarterly,q_dt_roe,净资产单季度收益率(扣除非经常损益),float,%,2,%.2f,净资产单季度收益率(扣除非经常损益)
fina_indicator_quarterly,q_npta,总资产净利润(单季度),float,无,2,%.2f,总资产净利润(单季度)
fina_indicator_quarterly,q_opincome_to_ebt,经营活动净收益／利润总额(单季度),float,无,2,%.2f,经营活动净收益／利润总额(单季度)
fina_indicator_quarterly,q_investincome_to_ebt,价值变动净收益／利润总额(单季度),float,无,2,%.2f,价值变动净收益／利润总额(单季度)
fina_indicator_quarterly,q_dtprofit_to_profit,扣除非经常损益后的净利润／净利润(单季度),float,无,2,%.2f,扣除非经常损益后的净利润／净利润(单季度)
fina_indicator_quarterly,q_salescash_to_or,销售商品提供劳务收到的现金／营业收入(单季度),float,无,2,%.2f,销售商品提供劳务收到的现金／营业收入(单季度)
fina_indicator_quarterly,q_ocf_to_sales,经营活动产生的现金流量净额／营业收入(单季度),float,无,2,%.2f,经营活动产生的现金流量净额／营业收入(单季度)
fina_indicator_quarterly,q_ocf_to_or,经营活动产生的现金流量净额／经营活动净收益(单季度),float,无,2,%.2f,经营活动产生的现金流量净额／经营活动净收益(单季度)
fina_indicator_quarterly,basic_eps_yoy,基本每股收益同比增长率(%),float,%,2,%.2f,基本每股收益同比增长率(%)
fina_indicator_quarterly,dt_eps_yoy,稀释每股收益同比增长率(%),float,%,2,%.2f,稀释每股收益同比增长率(%)
fina_indicator_quarterly,cfps_yoy,每股经营活动产生的现金流量净额同比增长率(%),float,%,2,%.2f,每股经营活动产生的现金流量净额同比增长率(%)
fina_indicator_quarterly,op_yoy,营业利润同比增长率(%),float,%,2,%.2f,营业利润同比增长率(%)
fina_indicator_quarterly,ebt_yoy,利润总额同比增长率(%),float,%,2,%.2f,利润总额同比增长率(%)
fina_indicator_quarterly,netprofit_yoy,归属母公司股东的净利润同比增长率(%),float,%,2,%.2f,归属母公司股东的净利润同比增长率(%)
fina_indicator_quarterly,dt_netprofit_yoy,归属母公司股东的净利润-扣除非经常损益同比增长率(%),float,%,2,%.2f,归属母公司股东的净利润-扣除非经常损益同比增长率(%)
fina_indicator_quarterly,ocf_yoy,经营活动产生的现金流量净额同比增长率(%),float,%,2,%.2f,经营活动产生的现金流量净额同比增长率(%)
fina_indicator_quarterly,roe_yoy,净资产收益率(摊薄)同比增长率(%),float,%,2,%.2f,净资产收益率(摊薄)同比增长率(%)
fina_indicator_quarterly,bps_yoy,每股净资产相对年初增长率(%),float,%,2,%.2f,每股净资产相对年初增长率(%)
fina_indicator_quarterly,assets_yoy,资产总计相对年初增长率(%),float,%,2,%.2f,资产总计相对年初增长率(%)
fina_indicator_quarterly,eqt_yoy,归属母公司的股东权益相对年初增长率(%),float,%,2,%.2f,归属母公司的股东权益相对年初增长率(%)
